,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,means,dispersions,dispersions_norm,mean,std
Golm1,1.0,29.581505,1,4154.9624,1991.3853,2.0864685,True,0.37344980953651913,0.53223054470432,1.2464384,0.27033783846315945,0.40499386448638974
4921517D22Rik,0.0,0.01719028,0,0.016904794,0.12303603,0.1373971,False,0.00024200865237658192,-4.142491537171137,-2.7918491,0.0002401111075932454,0.0019429332842919977
Spata31d1a,1.0,0.37937167,1,64.80617,14.316126,1.7081262,False,0.007720379354715601,1.585918017894243,1.9695108,0.003772743211155333,0.06200174658699693
4930528D03Rik,0.0,0.0029638412,0,0.0065155285,0.004172214,1.2853322,False,6.595663248580367e-05,-2.6704649634181545,-1.5683248,6.379374101589604e-05,0.002052990714329189
1700014D04Rik,1.0,0.18375815,1,14.788277,5.6407466,2.3772125,False,0.003310234802136407,0.5117002803318141,1.0766387,0.0020327075040318917,0.04189992712277677
Isca1,0.0,57.73029,0,4657.721,4663.3354,0.9987961,False,0.6430227410091063,0.1787461946131971,0.14902061,0.5336998516481051,0.4426905132203762
Etohd2,0.0,1.7990515,0,67.746666,94.30418,0.71838456,False,0.03115884483569826,-0.2991254804288603,0.40269363,0.024271136478696668,0.10510538886358395
Tut7,0.0,34.688206,0,2414.3464,2428.5264,0.9941611,False,0.44888427030587447,0.2123138479513176,0.49049217,0.3588615131289677,0.3891885134774715
Gm48194,0.0,0.45050386,0,7.87759,17.830822,0.44179627,False,0.008185178164843333,-1.0500401545665206,-0.22145432,0.007113167747648387,0.043393179511165066
Gm34961,0.0,0.1363367,0,3.4535246,3.835821,0.90033525,False,0.0021146686863027547,-1.0003873839248572,-0.18018375,0.0018262600464032854,0.022360984605508425
A530065N20Rik,0.0,0.051570836,0,1.963531,0.9184075,1.3957496,False,0.0009239711663685522,-0.3464987311342758,0.36331776,0.0007094043510092313,0.01870171222761138
Gas1,1.0,6.4991107,1,685.8824,401.0853,1.7100662,False,0.09532848426242223,0.3277279014705284,0.9237239,0.06605198635937347,0.20772973100607556
Gm48488,0.0,0.09780676,0,0.56160253,2.4485607,0.22936025,False,0.0016315675296207832,-2.088042987205448,-1.0842253,0.001541326371282482,0.013077958491660198
Gm48500,0.0,0.0017783047,0,0.0017761951,0.0015321586,1.1592764,False,2.731268913380435e-05,-4.085612929643527,-2.7445726,2.7085904197178454e-05,0.0006717067516159914
Dapk1,0.0,14.704802,0,1124.2687,927.20197,1.2125391,False,0.2164400053885102,0.25675773407312297,0.86473465,0.16017863409508246,0.296785088004653
4930486L24Rik,0.0,2.86722,0,111.934906,164.9967,0.67840695,False,0.03967996882632301,-0.6758194261356538,0.0895918,0.032826701361184735,0.1083607177341162
Ctla2b,0.0,18.803202,0,1396.4298,1196.7864,1.1668164,False,0.2581984618037461,0.2428286996630586,0.56259716,0.19162994857749852,0.3270114725970518
Ctla2a,1.0,68.03853,1,15082.712,5795.649,2.6024199,True,0.7154639857495178,1.2149704626456046,1.9462874,0.5234299105672778,0.5671446275069894
Gm49357,0.0,0.008298756,0,0.009421007,0.030585153,0.3080255,False,0.00013004445285425383,-4.016236435944409,-2.686908,0.00012888837238144688,0.0015162231096821311
Gm48116,0.0,0.052756373,0,0.061865173,0.9542197,0.06483326,False,0.0008337151636417375,-3.9201791112731152,-2.6070666,0.0008255844039503666,0.004018616246484342
Gm48228,0.0,1.1802015,0,2.7255154,56.20252,0.04849454,False,0.018307218790176955,-3.311097883701844,-2.1008084,0.01799548206106628,0.024730075096928435
Gm40977,0.0,0.018375816,0,0.09515442,0.13993312,0.67999923,False,0.0002687031301795908,-2.731915238171775,-1.6194013,0.0002604376443806458,0.004011291550256716
Zfp808,0.0,2.7860107,0,83.31302,159.62128,0.52194184,False,0.042327660437670285,-0.7960885025640627,-0.010373882,0.03628564190741261,0.10092267619956509
Gm19792,0.0,0.01719028,0,0.17230219,0.12303603,1.1695648,False,0.0002310066424251945,-2.2105845442642926,-1.1860797,0.0002195906692621926,0.004659422827897774
Gm3604,0.0,1.5666864,0,56.0559,79.56954,0.70448947,False,0.025090684792390672,-0.5316875771274895,0.20939183,0.02045766509896864,0.08725824663656842
