,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,means,dispersions,dispersions_norm,mean,std
Ube2e3,0.0,94.170715,0,6983.139,9088.33,0.7683633,False,0.9211064143604141,0.1989272510293466,-0.044376295,0.8044822701817171,0.47015138926795963
Itga4,0.0,34.782455,0,3580.1892,2436.9956,1.4690996,True,0.4314532201944517,0.3767324617042326,0.99982166,0.3239476277857715,0.4234254873024994
Cerkl,0.0,0.106105514,0,2.414002,2.7340846,0.8829287,False,0.0014300457016650496,-0.8611989026114892,0.0620042,0.001217620622148277,0.018936797003583368
Itprid2,0.0,37.539417,0,3983.373,2686.996,1.4824632,True,0.5630124280211918,0.6044746977580268,1.2359828,0.419282750367403,0.4891433407078117
Ppp1r1c,1.0,0.061647896,1,3.3283443,1.2306124,1.7348646,False,1.0899797391197154e-05,-4.356036799701576,-2.6510627,1.0830531420602369e-05,0.00037156774311709477
Pde1a,1.0,0.365738,1,25.988932,13.663048,1.9021329,False,0.000255106911866186,-1.2029761750234997,-0.20331988,0.000223104793739805,0.007654152782713734
Prdx6b,0.0,0.12270302,0,0.13499434,3.338864,0.04043122,False,0.002137515687960675,-3.728343214037511,-2.1637797,0.0021125884594501787,0.007018695658697458
Dnajc10,0.0,77.81268,0,7040.634,6958.2812,1.0118352,False,0.8367539643576986,0.30687435374430755,0.19116296,0.6961000598159982,0.5187108591279572
Frzb,1.0,4.1967993,1,677.9328,254.30984,2.6657748,True,0.008073218337028135,0.6935681935073447,1.2689807,0.004765484583332261,0.06593280450023402
Nckap1,0.0,48.408417,0,4711.811,3711.9375,1.2693671,True,0.6073183922254892,0.4992936629790997,0.9702777,0.4630001167159056,0.5030851568268094
Dusp19,0.0,8.85655,0,353.47644,545.77997,0.64765376,False,0.1212423814693644,-0.3814260822748808,0.4344552,0.0982453868524215,0.19636371987291085
Nup35,0.0,42.283344,0,2689.1355,3122.954,0.86108714,False,0.4740839308082596,0.05458470944841233,0.12837854,0.3805632278704565,0.4095879211282846
Zfp804a,0.0,0.059276823,0,4.237291,1.1559054,1.0508931,False,0.0001028324178841416,-2.111634381677927,-0.9087176,9.707460209993153e-05,0.00333038044120082
Zc3h15,0.0,92.25252,0,5615.081,8825.927,0.636203,False,0.8904271291746311,0.12571329567171263,-0.20412825,0.7875644547054537,0.4469567185114923
Itgav,0.0,15.368702,0,1008.16766,971.1785,1.0380869,True,0.2326870173196729,0.30142874499125827,0.9645601,0.17222387725194582,0.30499786595789696
Gm13684,0.0,0.21339656,0,3.3352177,6.839194,0.4876624,False,0.004235537385511529,-1.1576096889466359,-0.16810155,0.003726462417376325,0.029979430150569034
Fam171b,1.0,3.2110255,1,319.78345,187.9698,1.701249,True,0.03873508154508046,0.4926325348115612,1.112993,0.024790522978722595,0.13967755550272037
Gm13695,0.0,0.0017783047,0,0.0017761951,0.0015321586,1.1592764,False,2.009883270984943e-05,-4.399341857308233,-2.6846807,1.9976513154849017e-05,0.000493781087787804
Calcrl,1.0,126.513336,1,27791.936,14028.51,1.9811039,True,1.3477058853965185,0.9401184407945014,1.0335959,1.1184358279962179,0.6835624174171137
Tfpi,0.0,83.34262,0,11386.946,7652.1323,1.488075,True,0.9369906942301707,0.9119539564796787,1.5114392,0.7415591155597425,0.5900478232586371
Gm13710,1.0,0.1475993,1,7.3299217,4.2445602,1.7268978,True,0.0028637780298322382,0.0843479858362234,0.7960388,0.0019735242315301374,0.03681776591747748
Ctnnd1,0.0,83.20213,0,8419.678,7634.1904,1.1028906,False,0.8908037472426417,0.3652462163557701,0.31852964,0.7469670502793363,0.5244236687917367
Btbd18,1.0,0.7593361,1,82.55059,33.620052,1.9286022,True,0.013291145144239395,0.6300410697293496,1.2196641,0.008225835271863331,0.0818589891947747
Selenoh,0.0,147.14226,0,14371.396,17640.85,0.8146658,False,1.1067156430074852,0.11350166804328708,-0.4910794,0.9939288398822234,0.4796890305644357
Tmx2,0.0,85.49319,0,7643.6997,7928.912,0.9640288,False,0.8757706524827398,0.2688137048705689,0.10811509,0.7327546306016175,0.5332234811012282
Med19,0.0,26.251333,0,1074.8633,1724.2208,0.6233907,False,0.35765163379382653,-0.3371123135438804,-0.9312026,0.3055407885713669,0.3014229130088418
Zdhhc5,0.0,18.688204,0,839.0474,1188.9888,0.70568156,False,0.2841751889559655,-0.3878571569554729,-1.0684726,0.23758853171432207,0.28640068669519997
Clp1,0.0,40.23118,0,2935.8042,2931.8506,1.0013485,False,0.4846533432249247,0.015772379606178315,-0.25117853,0.3888715261525412,0.41862284327856103
Ypel4,0.0,0.89626557,0,18.058628,40.908344,0.44144118,False,0.016348684054739573,-1.0946546093208456,-0.119229086,0.014272942588353623,0.06070248173936479
Gm19426,0.0,0.9964434,0,22.109121,46.20031,0.4785492,False,0.015702227950809788,-0.9914680637509252,-0.039124653,0.013638582606795945,0.059666667440503286
Serping1,0.0,9.044457,0,874.35925,557.83954,1.5674027,True,0.08953152722469396,0.21113013211551182,0.8944607,0.06254360782332281,0.20270517213844258
Ube2l6,0.0,10.848845,0,861.6622,674.3995,1.2776732,True,0.18967295353801106,0.23654823421474674,0.9141929,0.1361375292138012,0.2905138616572415
Smtnl1,1.0,5.577949,1,641.7233,343.76794,1.8667339,True,0.1140270499393295,0.42166739315518376,1.0579022,0.0763590003457949,0.23552941623458656
Timm10,0.0,51.215767,0,3587.473,3990.4275,0.8990197,False,0.5400514198909101,-0.04585634299003924,-0.40686306,0.4463998422528298,0.4167409967235471
Slc43a1,0.0,45.407825,0,3620.5596,3420.4114,1.0585159,False,0.5437557947094065,0.09909703318277854,-0.04068641,0.43883990400970085,0.4363936158126853
Rtn4rl2,0.0,0.058684055,0,0.64602035,1.1373247,0.5680175,False,0.0010206324363975178,-1.8821903568968426,-0.73059857,0.0009519779538781641,0.011375355030769748
Slc43a3,1.0,117.31417,1,26672.037,12530.953,2.1284924,True,1.171808401552972,1.2197103637607882,1.7865801,0.8884997129750485,0.7328171746467708
P2rx3,0.0,0.15708359,0,2.707813,4.5949264,0.589305,False,0.0031017304781783637,-0.9440059478889471,-0.0022794837,0.0026610490653154297,0.027546785358054143
Ssrp1,0.0,195.0575,0,21806.729,27320.695,0.79817617,False,1.3701859669811096,0.19282633916499148,-0.4357216,1.2456931081492084,0.5261404892764814
Tnks1bp1,0.0,12.99348,0,726.5521,815.39435,0.8910439,False,0.20354545397429957,0.01882397959132698,0.7451721,0.15467415872594134,0.2828323029900969
4930443O20Rik,1.0,0.26674572,1,17.241972,9.116139,1.7969105,True,0.0058822581636225404,0.07924262174529215,0.7920755,0.0041907051049597,0.05032399282705129
Aplnr,1.0,89.51986,1,93493.805,8458.198,11.053631,True,0.6197986954846575,2.1601341550370474,5.1658406,0.2775037890496389,0.6342457714193096
Gm13713,0.0,0.049199764,0,0.35404295,0.8478673,0.41756883,False,0.0007645037431400631,-2.0454060782308643,-0.85730404,0.0007196214578621653,0.009258006672007392
Lrrc55,0.0,0.27563724,0,13.614964,9.51086,1.4315175,False,0.0027725588135649225,-0.6266630390498471,0.24407603,0.002250649878468773,0.029688777490196258
Gm13716,0.0,0.034973327,0,0.5438532,0.4668115,1.1650382,False,0.0001755782324058336,-1.7899749877308468,-0.6590111,0.00016249750306419932,0.0049749453633202954
Gm13715,0.0,0.05097807,0,0.77082795,0.9006304,0.85587597,False,0.0010238411935921648,-1.276938524372911,-0.26073736,0.0009090665161305803,0.014380246695577581
Olfr1023,0.0,0.0029638412,0,0.0029568095,0.004172214,0.70869076,False,9.999999999995e-13,,,0.0,1.0
Olfr1062,0.0,0.002371073,0,0.0023668539,0.0026978126,0.8773233,False,7.834236610786922e-06,-4.686279095733699,-2.907432,7.798368255263583e-06,0.00026754199622850864
