"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ints6",4.56240379871768e-05,0.540929555926419,0.857,0.79,0.756994038283238,"0","Ints6"
"Tipin",4.65723397062825e-05,0.361772629835477,0.929,0.8,0.772728260406639,"0","Tipin"
"Foxp1",4.84013795310271e-05,0.321015892230603,0.982,0.927,0.803075689178802,"0","Foxp1"
"Vps13a",4.99904393690434e-05,0.3758359751322,0.821,0.6,0.829441370011167,"0","Vps13a"
"Taok1",5.08525380878144e-05,0.424652966426367,0.982,0.907,0.843745311953017,"0","Taok1"
"Abcg1",5.21373484958385e-05,0.353356846216486,0.679,0.434,0.865062886242952,"0","Abcg1"
"Mrpl19",5.29923359924804e-05,0.511009292029742,0.929,0.834,0.879248838787235,"0","Mrpl19"
"Cdca7l",5.43016337520885e-05,0.765663680461582,0.911,0.717,0.900972707214653,"0","Cdca7l"
"Mycn",5.53052475200088e-05,0.411801492050621,0.964,0.727,0.917624666851986,"0","Mycn"
"Arhgap15",5.5647515713104e-05,0.299943274251718,0.536,0.234,0.923303580711822,"0","Arhgap15"
"Git2",5.69494163012553e-05,0.419022690785735,0.982,0.937,0.944904715270428,"0","Git2"
"Iqgap2",5.74902455104312e-05,0.492313809986686,0.929,0.717,0.953878153509074,"0","Iqgap2"
"Ivns1abp",5.8226357247903e-05,0.443454901620992,1,0.956,0.966091719457207,"0","Ivns1abp"
"Gpbp1",5.90482558651984e-05,0.39660951291688,1,0.907,0.979728661315371,"0","Gpbp1"
"Gm10384",5.91992097602385e-05,0.458331579889501,0.482,0.22,0.982233288341878,"0","Gm10384"
"Timm8a1",5.99957450505543e-05,0.437287600164516,0.857,0.737,0.995449401878796,"0","Timm8a1"
"Cdc42ep3",6.35668835945293e-05,0.54496902332874,0.714,0.478,1,"0","Cdc42ep3"
